"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 08 10:28:26 GMT+01:00 2023","Fri Sep 08 10:28:38 GMT+01:00 2023","11736","","[Admin] Client B2B - Shop detail view","","","","Log To application",""
"failed","Fri Sep 08 10:28:45 GMT+01:00 2023","Fri Sep 08 10:29:01 GMT+01:00 2023","15667","","[Admin] Client B2B - Shop detail view","","","","Log To application Error Check",""
